species,population.ID,taxon,Citation,Life.Stage,Sex.Ratio,SuperTaxa,LifeHistory,N,sex.determination,SDM.Type,SDM.Type.conservative,sex.det.source,Notes
Kinosternon_sonoriense,2077b,turtles,2077,adult.sex.ratio,0.581,crocoturtle,CTT,62,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_sonoriense,2076,turtles,2076,adult.sex.ratio,0.439,crocoturtle,CTT,467,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_sonoriense,2074a,turtles,2074,adult.sex.ratio,0.664,crocoturtle,CTT,119,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_sonoriense,2078b,turtles,2078,adult.sex.ratio,0.705,crocoturtle,CTT,105,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_sonoriense,2077a,turtles,2077,adult.sex.ratio,0.585,crocoturtle,CTT,82,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_sonoriense,2078a,turtles,2078,adult.sex.ratio,0.385,crocoturtle,CTT,480,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_sonoriense,2079,turtles,2079,adult.sex.ratio,0.584,crocoturtle,CTT,291,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Kinosternon_subrubrum,309,turtles,682,adult.sex.ratio,0.467,crocoturtle,CTT,30,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Kinosternon_subrubrum,310,turtles,"734, 603",adult.sex.ratio,0.568,crocoturtle,CTT,713,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Lacerta_agilis,311,lizards,76,adult.sex.ratio,0.538,squamatara,S,156,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_agilis,312,lizards,mod78,adult.sex.ratio,0.427,squamatara,S,307,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_monticola,315,lizards,1042,birth.sex.ratio,0.54,squamatara,S,248,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_viridis,316,lizards,1041,adult.sex.ratio,0.545,squamatara,S,99,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_vivipara,318,lizards,mod78,adult.sex.ratio,0.429,squamatara,S,385,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_vivipara,319,lizards,v23,adult.sex.ratio,0.231,squamatara,S,373,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_vivipara,317,lizards,"81, 223",adult.sex.ratio,0.418,squamatara,S,2302,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_vivipara,326,lizards,v23,adult.sex.ratio,0.518,squamatara,S,2074,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_vivipara,326,lizards,v23,juvenile.sex.ratio,0.456,squamatara,S,1767,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lacerta_vivipara,319,lizards,v23,juvenile.sex.ratio,0.39,squamatara,S,656,GSD,GSD,GSD,species.in.TreeOfSex,NA
Lapemis_hardwickii,328,snakes,82,adult.sex.ratio,0.481,squamatara,S,754,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Lepidochelys_kempii,329,turtles,454,juvenile.sex.ratio,0.413,crocoturtle,CTT,75,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Lepidochelys_olivacea,331,turtles,513,birth.sex.ratio,0.419,crocoturtle,CTT,530,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Lepidochelys_olivacea,330,turtles,469,adult.sex.ratio,0.49,crocoturtle,CTT,739,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Liasis_fuscus,332,snakes,134,adult.sex.ratio,0.614,squamatara,S,1618,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Lygosoma_laterale,333,lizards,mod9,adult.sex.ratio,0.502,squamatara,S,303,GSD,GSD,GSD,species.in.TreeOfSex,written as Lacerta aranica in tree of sex
Lygosoma_laterale,333,lizards,mod9,juvenile.sex.ratio,0.513,squamatara,S,80,GSD,GSD,GSD,species.in.TreeOfSex,written as Lacerta aranica in tree of sex
Macrochelys_temminckii,334,turtles,496,adult.sex.ratio,0.779,crocoturtle,CTT,104,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,342,turtles,498,adult.sex.ratio,0.397,crocoturtle,CTT,73,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,337,turtles,492,adult.sex.ratio,0.356,crocoturtle,CTT,59,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,339,turtles,491,adult.sex.ratio,0.143,crocoturtle,CTT,56,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,338,turtles,499,birth.sex.ratio,0.082,crocoturtle,CTT,49,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,335,turtles,487,adult.sex.ratio,0.462,crocoturtle,CTT,104,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,336,turtles,497,adult.sex.ratio,0.556,crocoturtle,CTT,45,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,340,turtles,495,adult.sex.ratio,0.417,crocoturtle,CTT,12,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Macrochelys_temminckii,341,turtles,488,adult.sex.ratio,0.528,crocoturtle,CTT,36,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Malaclemys_terrapin,344,turtles,665,adult.sex.ratio,0.576,crocoturtle,CTT,262,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Malaclemys_terrapin,346,turtles,658,adult.sex.ratio,0.19,crocoturtle,CTT,715,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Malaclemys_terrapin,346,turtles,658,juvenile.sex.ratio,0.575,crocoturtle,CTT,544,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Malaclemys_terrapin,345,turtles,"659, 89, 90",adult.sex.ratio,0.601,crocoturtle,CTT,1189,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Mauremys_japonica,351,turtles,365,adult.sex.ratio,0.428,crocoturtle,CTT,257,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Mauremys_japonica,350,turtles,366,adult.sex.ratio,0.474,crocoturtle,CTT,350,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Mauremys_reevesii,352,turtles,"373, m53",adult.sex.ratio,0.588,crocoturtle,CTT,56,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
